,content,target
31,Merchant can choose to back off the deal (including flash deals) anytime they wish to just by telling u some crappy excuses. Not that trustworthy app afterall. CSO can't give u an answer but to tell u to cancel and get your refund.,0
32,"More changes now that are disadvantageous to customers. I will certainly be keeping an eye out for new rivals who are better shopping platforms which think for customers more. The games don't work properly. I keep having issues. Like shopee catch no hat. Flip, found the mouse but didn't get any coin. The farm, no friends even though I allowed shopee app permission to contacts. So frustrating and disappointing.",0
33,"Terrible. The app is glitchy as hell. Caused a ruckus and made me look like an idiot for the mistake that their app made. Instead of assisting me, I had to fix the issue myself. And even so I cant do nothing about my parcel. Filed for dispute and Shopee refuses to refund me. Really, I was gonna get lots stuffs from your platform but looking at how the issue was handled, I would rather shop elsewhere. It isn't about the amount, it's the service provided.",0
34,"Keeps spamming push notifications on my phone about ads, seller promotion, etc even though I've uncheck those notifications in the app settings. I wanted to leave order updates and chat notifications on, but it looks like I have to turn off the entire notification setting, due to their broken setting selection. Very spammy, as I get 2 to 3 spam notifications from the app everyday. Please fix it",0
35,"Very poor service support, been using Shopee for few years but when there is issue, shopee kept quiet about it. Cannot use Amex card for payment at all. This issue have been there for months. Finally i could my Amex card, but payment still only show 1 Old citibank card which i had deleted. This is security issue. A deleted credit card data still in your system for payment. You have gotta to kidding everyone. How is that possible? And highly shown the poor banking security glitch.",0
36,"Terrible platform cannot apply promo properly. Contacted help centre they tell you sorry its unexpected but bank promo, they won't give u the discount even if its their platform did not apply automatically, seller promo cannot apply also tell you not their problem. So why run promo with partners if you wont honour?",0
37,Can't even find customer service to feedback when app is having issues. All just hid behind,0
38,Quite bad experience using this app. Especially for the first time user and welcome gift. Cannot redeem at all even though I am a new user. Will not recommend this app as there are other better shopping platforms available,0
39,"Please be wary of Shopee going forward. The recent promotions have clearly been designed for users to accumulate coin balances with cash, without informing them that the coins expires in a very short period of time. Very distasteful. Trust fundamentally broken here, and I'd imagine lots of consumers will move onto other platforms.",0
40,Can't play any games. Keep leading me to the game starting page.,0
41,Shopee farm hangs for 2 minutes. What a lousy server we get despite spending so much money on it wasting my time everyday with the farm,0
42,Why the image are not able to fit in one screen.,0
43,I'm using a Google pixel 3 and the app seems to keep bouncing back to the home page every time I do search. @shopee is there a solution to this problem?,0
44,"Been using the app since its launch where we spend hundreds to thousands yearly then met with an issue, emailed months back and the team still couldn't solve the issue, that's just sad man.",0
45,"So many random functionalities that the app lags like no body business. I just want to do my shopping yet can't even load the images and page. I'm on Samsung S10 and a 20mb/s WiFi. please improve your app, otherwise its so frustrating that I'd just visit Lazada instead",0
46,"Have updated the shopee app multiple times, however my shopee farm game continues to lag, in which I can't even load my game or water my plant or my friends' plants smoothly. Installed the most recent update and yet the game lags even more. Kindly assist/advise.",0
47,I have spent like $500 on their shops. Yet they remain unresponsive to my query on their app. Don't bother download if you think someday you might need their help on the app. Go look somewhere else where ypur spending is appreciated.,0
48,"there were many glitches in app, such as likes disappearing, items frequently being deleted. Most things I ordered also were spoilt or wrong item delivered (brooch). Some things were also cancelled by shopee, overall terrible user experience from the start, just stick with lazada though prices may be a bit higher.",0
49,Disappointed for local (home delivery) not improve the service. Now become downgrade the service. Local delivery more than a week to receive. (but shopee write local delivery will 1-3 working days). I have most of the times use this app to purchase my online items. Last time very good. But now the delivery is very bad. Local seller same day handover the item to (home delivery company) but I know don't why the delivery company keep more then 5 days in they store.If improved i will 5 star.,0
50,Really troublesome platform!! Not user friendly at all!!,0
51,Lousy apps. I was told to uninstall the apps again n again as I failed to verify number. And failed to add my card details. Tried so many times. Wasting my time!,0
52,Shopping cart seems to have problem. Click on shopping cart it doesn't show the item but hang. Please fix. Update: still having issue. Kindly fix it.,0
53,Somehow 'flipboard' ads shows the very same thing I've search in shopee app even though Ads personalization have been turned off. And shopee app is not in any way linked to my google acct.,0
54,The platform may be good but the vendors are irresponsible. They do not update that there will be delay or something in regards to the item ordered. Some vendors don't even response quickly.,0
55,Good apps but lousy logistics. Order an item from South Korea and China vendors. From China only about 1 week. From S.Korea from than 2 weeks also never get. 5 days in Spore warehouse still sorting. *^@%#&#^@#,0
56,"After update and before updates, there's more bugs and glitch. All my user interface are enlarged by 50%. How am i suppose to have a proper view of the products I'm going to purchase.",0
57,Very laggy and full of bugs. Shopee also restricted the scope of vouchers that were previously available for use on some products.,0
58,Too many push notices. Getting worst. It keeps requiring updating. Do something.,0
59,"Why every time i want to check my Chart, page hang? Last time don't have this problem. Without able to see my CHART, how am i suppose to make a purchase??",0
60,Seems like there is something wrong with the app. All images have been enlarged and unable to be reduced back to the normal size,0
61,So much buggy issues with games and search. Poor customer service. Poor seller rating. Poor delivery feedback system. Seriously it gotten worst.,0
62,When I use referral code it says invalid even if it a valid code and i am new user. Pls fix this,0
63,What's happening? Used to be a good app but now always lagged. Can't even open my cart to check out my item. Keep on loading and loading. Fix it a.s.a.p please!!,0
64,App keeps hanging after awhile and I need to kill it to get it responding again,0
65,I'm here in Philippines i been tried for so many times to fix my account!/ set my number I'm so disappointed to shopee. Don't waste your time to install this app,0
66,Didn't know the shopee coins will expired. Lost closed to 10 bucks because of this. Its ridiculous.,0
67,The notification sound is irritating!!,0
68,Worst shopping app compared to Qoo10 and Lazada. No quality control - some shops under Shopee Mall sell counterfeit items. Customer service is not helpful at all - replies are quick but mostly useless templates. Buy at your own risk.,0
69,Tried to buy 1 item but payment failed 3 times! Couldn't use my new user voucher although the payment failed.,0
70,"After the latest update, unable to play any of Shopee's mini games.",0
71,"Second update, still cannot play farm games.. dont understand why it cant open the games and asking to update..",0
72,Shopping within the app is VERY SLOW and it HANGS. I'm using android S10 plus up to date software.,0
73,"WORST APP EVER USED. They have Bank promos whereby you get $X off every, say Monday. However, my discount was applied but SUDDENTLY REMOVED FOR NO REASON. Shopee CS is basically stupid and idiotic, don't know how to provide solution. Slow in responding, randomly quit chats. Please DON'T GIVE ME A COPY PASTE RESPONSE...",0
74,Can't pay using credit card. It was ok prior to latest update,0
75,"After app updates, facing 10mins lagging delay for all clicks in shoppee. Please look into this",0
76,App shouldn't be allowed to change my ringtone WITHOUT my permission. Malware,0
77,Is the app down?? I cant log in cant reset password n keep telling me system error..,0
78,"Unable to login,app show not this account.what's happen?I sure I key in correct password and I'd.",0
79,Zero stars! Shame shame! For not highlighting clearly upfront that coins will expire. Tentamounting to scamming!,0
80,It always has an error when you try to add a credit card,0
81,"After purchase, history can't be viewed.. Worst online app ever!",0
82,Feed is too cluttered and sadly experienced a dishonest seller and Shopee did nothing for to resolve the issue.,0
83,Have problems loading after update.,0
84,"Full of fake vendors (purchase a product and suddenly it is out of stock, and they try to replace with a lower quality product, at same price of course). Also, Shopee cheats you with the deposit that cannot be refunded. When checking with the support team they told me that I just need to close my account and I'll get an email to get my deposit back. It's been 2 weeks I closed and no email. Shoppe simply robbed me 150$. Don't waste time with it, competitors are more serious and honest",0
85,Annoying faking app keep sending notifications every few hours in a day! Uninstalled.,0
86,04/05/2020 Unfortunate i bought a sale counterfeit goods. Seller selling counterfeit items with original ads and more put their sale counterfeit items on sale/first page yet shopee didnt do anything...... . I think aliexpress or qoo10 still better. Hope shopee settle my issue soon,0
87,Error on credit card payment. Rectify please.,0
88,"After using it for a month or two, am updating the stars for this portal. It's bad! Sellers are also always out of stock and they kept telling me to cancel my order. Looks like shoppee does not bother to vet their sellers. When I tried to contact shoppee via their ""contactus"" page, it will not submit. What a srewed up portal and customer contact page!!",0
89,The app keep lagging. Made shopping on this app very annoying.,0
90,"Having error after updating app, not able to load games page",0
91,"Lousy experience. The system did not register me as a new user when this is my first time using the app. Customer service gives standard response and did not offer solutions, and promotions are not as attractive as other competitors.",0
92,Going to uninstall this after I received my items. My card seems to be used for unauthorized purchase after shopping at Shoppee.,0
93,beginning Top-up 20% off still 20% off but when I'm purchases became only 10% off please fixing it,0
94,After updated I am unable to view my previous purchase..and also unable to make payment for my order,0
95,"Very disappointed. They changed the expiry period of their shopee coins from three to two months without notifying users. The coin balance in the app was also not updated to inform users of how much coins are expiring. There is a daily spending limit of the coins. By the time I discovered my coins were expiring, I have no chance to use it and a significant amount of my coins expired. Contacted them and they say there is nothing they can do about it. Felt so cheated.",0
96,"Need help. Im trying to go my shopping cart, but it hang. Tried to uninstall and install back again, still hang.. please help..",0
97,Bad experience. Didn't allow welcome gift after making first purchase. Ridiculous policy.,0
98,"Horrible and frustrating experience. As a buyer, items are taking so long (more than a week) to ship out from supposed endorsed ""Mall"" sellers. As a seller, listings keeps getting suspended for irrelevant reasons. Seems like the reviewers are just suspending items for fun.",0
99,"Keep getting ""unknown error"" signing up.",0
100,Delivery system screwed up. I have tried ordering once and the perishable items delivered was not stored properly. Uninstalling.,0
101,"Please stop sending robot email requesting for our feedback of your ""Customer Service"" when the problem is not resolved.",0
102,Gave a app-wide promotion and then failed to ship out the seller's item and auto-cancelled the item. What a waste of time.,0
103,Why am i not being able to sign up despite following all the provided steps?,0
104,Took super long time to receive the parcel.,0
105,Why can't I log in? It keeps on loading,0
106,"Purchase at least 10 item . 6 out of item send wrongly. Send to seller no ref, ask for Shoppee no answer to it . I am a long time buyer in Q10 , total abt 100+ item I purchase zero shortfall. Actually not even one star, shield be negative. You load this apps for purchase, good luck to you.",0
107,"Hi, my screen always hang when I wanted to play the shopee game ""shopee farm"". It hang at the part where it ask me to ""click on water can to water the plant"". Please check and work on it. Thank you.",0
108,"Been quite slow lately, probably because many are using it?",0
109,"In this day and age of security breaches, it's shocking that there is no option to make purchases with credit/debit cards without saving it. So I tried saving a few cards but they were all rejected. Paid by bank transfer.. but there was a disclaimer that said 3 days is needed for verification.. when the merchants are threatening to cancel the order within a day if no payment received.. and also.. the app is clunky and slow compared to iOS version..",0
110,"Baiting consumers with offers but sellers not delivering on promised schedule. Then wait for refund, wasting our time!",0
111,Cant update my credit card payment method keep asking me to contact shopee support,0
112,Not nice at all. Been trying to get an item for past 1 week plus. 2 sellers never send on shipping dates and totally unresponsive. Total waste of time better to stick back to Amazon.,0
113,"Slow compared to other competing apps. Server is unable to verify phone otp. Unable to checkout. Will try again later, sometime this year.",0
114,"Do not buy through this app, the promotions are a lie and the ""app-only coupons"" don't actually work. They will charge your card without applying the discount and customer support will refuse to honor the offer. Edit: In reply to the dev response, I have already done so prior to my review [Case Number 38371121] hence my statement about Customer Support.",0
115,"fix the bugs on android systems PLEASE the app is so laggy, can't even go back one page without the entire app freezing up. whats the whole point in spending so much on advertising when you cant even make the app usable for Android OS users? the iOS app is almost flawless and this app pales in comparison.",0
116,World class app that will cancel your orders without informing you. World class help desk operator drop the line after they are unable to answer your question. If you wants your order to be cancelled without notice and get no answer for your question please download this app.,0
117,"Unresponsive seller. Disappointing customer service & system! Order was not auto - cancelled by Shopee system despite seller failed to shipped out product. Despite putting up cancellation request, still have to wait for seller to acknowledge. Service lapsed by seller and customer service.",0
118,"Sorry to do this, but I have to say it's a bit weird for me that seller has 7 days to prepare for sending out goods:( I understand maybe they have to get the items ready, but the better way is to have good by hand and can send out goods ASAP right after the payment is confirmed! And I realized that I couldn't even reach online seller (first time user) and the service bot just really disappointed human beings! 3 days should be maximum for goods ready, otherwise don't put the goods on website.",0
119,"Horrible, shipped out item but cannot click ship at all because of technical issues. When are you going to solve otherwise we get penalty point because of late shipment . This is so dumb if you implement penalty point for late shipment jolly well make sure there's no technical error on your app to click on ship. This is such a simple thing to ensure of any shopping app.",0
120,"As an overseas Singaporean in Vietnam, I cannot download Shopee Vn due to Google play location. I also can't switch shopee sg to be used in Vn. Even when I use Web-based version of shopee vn, there is no English ver. HOWEVER, with LAZADA, I can switch from sg to vn, and fully in English. I have already bought hundreds of stuff via LAZADA thanks to their agile app. This is seriously stupid of Shopee in terms of strategy market reach. You guys don't know how many expats you are losing out of sg.",0
121,Lousy! Extremely bad! Frequent technical problems,0
122,Shopee Games are crashing!,0
123,Unable to sign up at all! OTP correct. Password correct. It kept redirecting you to Sign Up. Stupid app,0
124,You did not make it clear that you need to checkout the welcome gift with your first purchase. I found out too late when i already checkout my 1st purchase. Then your chat agent told me you can't make an exception and re-enable the option for me to claim my welcome gift. What kind of customer service is this?,0
125,"disappoint with the seller, they put price and we purchase but when they find out the price is lower... they ask we to cancel.... very unfair to buyer...",0
126,"I request for a refund, but I can't find any other options to click other then release payment. UI is so frustrating. The staff chat app doesn't help any at all. And just simply put me in ignore mode. Stop replying to me. Wow thanks for a business app. No more purchases now.",0
127,"Very buggy. Cannot even login to my account. Better off just using web. After filling up and submitted problem, they give standard answer. When I shared further problem, no reply from them for a week now. Don't waste time with shopee.",0
128,"The app is so slow after the last update. Sometimes, I got blank search display and have to restart the app to get the result. Really bad user experience.",0
129,"One of the sellers hotwind.sg, selling items from overseas which is not indicated on the info. Anything coming from overseas especially during this pandemic must be well noted by the seller and shopee. Did try to negotiate yo cancel/refund but shopee declined. Did mention that the seller hotwind.sg,assuming all items are already here in sg is a great relief, instead shopee needs to earn some revenue even they have to put customer's health at risk... Better use other online who values clients",0
130,"Can't log in to shopee phone app although account was already created via web browser earlier using PC. Because of this, can't get cash back from Shopback which requires shopping using the mobile app. File size is big also",0
131,Deleting account is so troublesome!!!!!!,0
132,"I cannot water my plant on shopee farm! It keeps hanging... it is very disturbing, fix this problem ASAP!!!",0
133,"Shoppee coins are a scam. I had coins expiring, when trying to use it as guided in the app, there are no items to buy. I write to support and there is no response after 6 days. I am uninstalling the app",0
134,The Bank send a SMS saying Amount deducted. BUT APPS SHOWN NO PURCHASED.,0
135,"Need to allow users more privacy eg delete recently viewed list, reset what merchandise you see on home page. The ""algorithm"" does not necessarily appeal to everyone !",0
136,"How come now after I made the purchase, I cannot see which card I used to make the payment. At least the last 4 digits of the card should be shown.",0
137,Terrible..if i use coupon i cannot check out.,0
138,The Shopee farm seems to be lagging a lot the past few days,0
139,Popups in the app everyday. Such of these intrusive ads!!!!!,0
140,"Not exactly good experience shopping on shopee. App pages loading very slowly, vouchers claimed but not shown in my wallet. Please improve on these issues.",0
141,"Extremely laggy app, very interruptive ads and promos. Overall design very clustered with all the nonsense event.",0
142,"Slow and very laggy, is frustrating to use as i keep having to close n reopen the app. I had resorted to buying fm lazada cos their app is much easier to use.",0
143,"Hi Shopee, I have set my push notification as whistle.... But why did I get the voice of SHOPEE? I DON'T LIKE! Can fix the bug by 2nd week of Jan 2020? The voice notification is very NOISY.... 😡😡😡",0
144,"I wonder what the help centre is there for. Forgein talent?!! Can""t even resolved matters , no a single times.",0
145,Had a problem with the latest transaction and shopee side just didn't help when I said I've done everything they asked me to but still no avail. And theres still no reply from shopee or the seller. Just a disappointment. Guess u just lost some of your loyal shoppers,0
146,"Using Shopee since 2015.. But now Shopee very lag and keep hang after update.. even i using a high specs phone.. when it's fix, then i change my rating.. Thanks",0
147,"Getting she when playing game like hang, try 8 to buy but can't see the check box to select",0
148,bad experience of trying to get my payment to go through. the payment keeps failing even after inputting the right details.,0
149,The CS is no help. Seller is doubly unhelpful. I'm not keeping this app anymore. There are other platforms out there.,0
150,if i can give 0 stars I would the page is very laggy and I thought it was my wifi connection but it isn't it keeps shutting down and I can't press on anything,0
151,"I used to place order with another address, after order placed, automatically change to default address. Need to make another trip to collect my order.",0
152,Unable to update,0
153,App unable to get through the shipping process. Please kindly fix the bugs.,0
154,Keep showing me Server Error and Paymeny Failed ! Useless app! What server error? Why payment failed? Why can't you provide a reason?,0
155,Unusable. Install and spent the first 5min looking on empty screens.,0
156,"It took forever to wait for CS to ""pick-up"" the Hotline - Called several times in 4 days (avg waiting time 15mins). This shopping platform leans towards sellers rather than buyers. When seeking help on purchase issues with sellers not shipping out orders, hotline support said I have the option to cancel the order. Plus they can't do anything to help as they can only assist with issues overseas sellers!! LMAO!!",0
157,Very slow and lousy service,0
158,"App is pretty useless, doesnt display my purchases. Made purchase of huawei mate 20 and payment went through but can't track or get details.",0
159,update very slow,0
160,app is very slow and laggy and now nothing shows up from the search,0
161,Buyer cannot edit or chnage review after purchase,0
162,Good job wasted my time trying to login in to this piece of App! Uninstall,0
163,"I enjoyed using the app. However, I was banned out of nowhere and they provided no reason for my ban. Hoping I could get my account back cus I made orders before the ban.",0
164,I cant find my wallet icon to withdrawal my amt to bank,0
165,Getting bad this app. Keep jammed n jammed,0
166,Full of bugssss Can't validate phone number Hard to key in card detail,0
167,App Freezes and crashes all the time,0
168,Very bad with customer service.. No response at all,0
169,New update become so lag. Will put 5 star when this fix,0
170,Literally got scammed by the app it self. I got $60+ in my wallet tried to put it back into my bank got cancelled due to so called protocol go back wallet turned $8,0
171,Online purchased items and paid. Mobile was not updated,0
172,Slow n choppy performance compared to iOS version.,0
173,Have to be careful for new scriber when you purchase something. Cause once you received an order you won't be able to reject or refund. This is very unacceptable to me which doesn't protect the buyer. Help center doesn't even respond after feedback.,0
174,"Encountered horrible sellers in this app who doesn't respond to any enquiries, have phone numbers that are not even active and without any valid business address. Looks like shopee need to improve its ecosystem of sellers otherwise it will be full of scam sellers who just waste your time and effort to chase them for updates on your orders. One thing you can improve: show how many percentage of items not shipped on time by sellers and how long is the average delay so customer know what to expect.",0
175,"It doesnt let me delete my account, the chat service is also not helpful.",0
176,Too slow. Cant load many photos.,0
177,"Very disappointed with the refund option. I had to contact the seller directly and send them a screenshot instead. Ive already send all the required facts, such as video, to the customer service personnel. But still need to do another step. Product received was already defective... still need to go through the hassle myself",0
178,Very difficult to go through payment procedures using shoppie pay refund/ to transfer $$$from shoppe pay to bank account,0
179,No point having a good app when this platform supports sellers that selling poor quality items and a customer service that ignores you!,0
180,"Be careful, there is no customer service. App is very difficult to use.",0
181,"Extremely disappointing. Signed up on 3 May 2020. Welcome gift couldn't be redeemed, fine. However, voucher for my first purchase also couldn't be used so I sought help. Shopee Live chat said they would escalate the issue but didn't get back. On 6 May, i wrote in again. Only on 19 May night was someone assigned to help. After i replied with the voucher error message, they said i am permanently limited because of 'activities' and this ban non-appealable. I didn't even do anything. Amazing.",0
182,The Merchants keep bugging you when you give them 1 star rating when the products are sub-standard. Pretty bad experience. Consider carefully when buying,0
183,Way too much expensive...uninstall,0
184,"Sucks la the app, the UI seriously damn dumb, what for have payment page when people not going to pay at 7-11 or cheers, the stupid payment page is just a scam so less people can use vouchers and coupon codes cos once you're in it, going back means your vouchers and coupon codes applied are gone already. Raise query, say will get back within 1 day but after 1 week already still no word from Shopee. Worse service ever. I deleted the app and once I receive all my items, I'm deleting my account.",0
185,"Sudden suspension of my account without heads up. All my voucher codes are still in my account and i have not used them, but i am unable to access my account now. Service centre is not helpful in retrieving my codes and just tell me account suspension is final. Very disappointed because i have been using shopee for so many years and this is how they treat their long term customer just because of some unusual activity their system detected and they do not even explain what is unusual.",0
186,I regretted update the new version.. Seriously very lagging.. No mood to shopping online with this type of service from shoppe HQ..!! It's already been lock down and we need to get things buy it online.. And this app after update to new version lagging and blank at all time.. Seriously make my days very bad days after days.. If you guys shoppe HQ updated your apps to a better version please do not let us having all these problems where we cant order things in shope.. We pay for our mobile data,0
187,Very bad user experience. Items comes in all scratched and damaged. Not only that the app forces you to return an item in 3 days by yourself through postal service if not they will cancel your request. Singapore postal service closes quite early. How am i surposed to return an item in a weekday? Cant even provide an extension to a saturday to return an item. Will never buy anything from here unless it's especially cheap. Rather spend that extra dollar on their competition app like lazada.,0
188,"I used to purchase items which gains my trust in buying, however products quality defects recently have a surge in rise. plus buying makes disappointment in what was advertise. moreover seller items are not very reliable when selling. In long term rise i don't think i will spend to buy unless it was needed.",0
189,They can't solve refund problem,0
190,Login coins are reseting to 1coin daily..,0
191,Buggy and slow UI.,0
192,Can not install shopee apps. Installation seems like hang. I had already submit my order and paid with debit card but not sure whether it has been completely submitted or not. Next it asked for verification of handphone number with verification code. Done multiple times but verification code never exist. Keep checked in messages and email still no verification appear.,0
193,"Hello, i cant download This app please fix it",0
194,All items seems to be from China even if shop says domestic (sg) Delivery takes an average of 3 weeks to over 1 month. You give a rating for the seller that's 1 star and you wont get the shoppee coins. Not happy and probably wont purchase from shopee again.,0
195,"Did my first ever purchase with Shopee. Seller advertised 24hrs delivery, active 7 days a week. After making the first purchase, no news / updates till I questioned Shopee on 31 Mar (approx 6:30pm) and the answer was simply ""Will Ship by today or order will auto cancel on 4 Apr, refund back to actual card could take up to 14 Working Days"" Terrible customer experience. Update - Order was updated to ""Shipped"" after I ended the conversation at approx 6:45PM SG timing.",0
196,Unable to connect google account,0
197,Shopee delivery system is very slow!! One item needs to take about 1 to 2 months to deliver the item!! Some more the delivery is standard express!! And the stock is from Malaysia!! I will be switching to other platforms when I received my item!!,0
198,"Your shopee sg app is very bad. Worse than Lazada. Your category placing is also very bad. Not easy to scroll. What you advertised in the front scroll, is nowhere to find. Need to improve. I installed few times but very disappointed. Not friendly use at all.",0
199,SCAM Shopee MY apps- I couldn't view items purchased after making payment in My Purchases folder and was prompted to download Shopee client to view the folder. Shopee client download was not successful either. My user account disappeared after 2 days. Closed and re-opened the apps and Shopee MY apps is missing from my hp. Terrible apps! RM120++ is not big deal either but it is really annoying to be cheated by an apps advertised on TV for Hari Raya.,0
200,Not easy to use,0
201,Can't log in at all.,0
202,"Buggy server and poorly maintained app . I wanted to check out and pay but keep getting server error. My credit card payment went through and got reversed several times. Contacted support but they kept asking me to provide screen shots and telling me to reinstall, try web version. None of it worked. Added a full cart of items and they asked me to do individual bank transfer and send them screen shots. No thanks, I will stick to Lazada and Qoo10.",0
203,Cant play my plant game... lose out so much daily 😡,0
204,Harder to log in compared to the web version,0
205,"Horrible! I installed the app but my payment couldn't go through; bank deducted but shopee's server didn't work. I was given varied advices like wait 24 hours, try to make payment again and uninstall. I tried all but both promo code & 15% discount were taken away before I can pay. When I complained, the customer svc officers implied that I was uncooperative! Why should I waste my time further or risk a payment scam, when they took my entitlements? I asked to speak to manager; no one called.",0
206,Experienced delays and cancellations.,0
207,Customer service cannot make it...,0
